English,Spanish,French,German,Italian
plastics,plasticos,plastiques,Kunststoffe,plastiche
realm,reino / ambito,royaume / domaine,Reich / Bereich,regno / ambito
corrected,corregido,corrige,korrigiert,corretto
jenny,Jenny,Jenny,Jenny,Jenny
helmet,casco,casque,Helm,casco
salaries,salarios,salaires,Gehalter,stipendi / salari
postcard,postal / tarjeta postal,carte postale,Postkarte,cartolina
elephant,elefante,elephant,Elefant,elefante
yemen,Yemen,Yemen,Jemen,Yemen
encountered,encontrado / hallado / afrontado,rencontre,begegnet / angetroffen,incontrato / riscontrato
tsunami,tsunami,tsunami,Tsunami,tsunami
scholar,erudito / becario,savant / boursier,Gelehrter / Stipendiat,studioso / borsista
nickel,niquel,nickel,Nickel,nichel
internationally,internacionalmente,internationalement,international,internazionalmente
surrounded,rodeado,entoure,umgeben,circondato
psi,psi,psi,psi,psi
buses,autobuses,bus,Busse,autobus
expedia,Expedia,Expedia,Expedia,Expedia
geology,geologia,geologie,Geologie,geologia
pct,porcentaje / pct,pourcentage / pct,Prozent / pct,percentuale / pct
creatures,criaturas,creatures,Kreaturen / Geschopfe,creature
coating,recubrimiento,revetement,Beschichtung,rivestimento
commented,comento,a commente,kommentierte,ha commentato
wallet,cartera / billetera,portefeuille,Geldborse / Brieftasche,portafoglio
cleared,despejado / aclarado / autorizado,degage / clarifie / autorise,freigeräumt / geklart / genehmigt,sgomberato / chiarito / autorizzato
smilies,caritas / emoticonos,smileys,Smileys,faccine / smiley
vids,videos / vids,videos / vids,Videos / vids,video / vids
accomplish,lograr / realizar,accomplir,erreichen / vollbringen,realizzare / portare a termine
boating,navegacion recreativa / paseos en bote,navigation de plaisance,Bootfahren,navigazione da diporto / andare in barca
drainage,drenaje,drainage,Entwasserung,drenaggio
shakira,Shakira,Shakira,Shakira,Shakira
corners,esquinas / rincones,coins,Ecken,angoli
broader,mas amplio,plus large,breiter / umfassender,piu ampio
vegetarian,vegetariano,vegetarien,vegetarisch / Vegetarier,vegetariano
rouge,rojo / rouge,rouge,Rot / Rouge,rosso / rouge
yeast,levadura,levure,Hefe,lievito
yale,Yale,Yale,Yale,Yale
newfoundland,Terranova,Terre-Neuve,Neufundland,Terranova
qld,QLD,QLD,QLD,QLD
pas,pas,pas,pas,pas
clearing,despejando / compensacion,degagement / compensation,Bereinigung / Clearing,sgombero / compensazione
investigated,investigado,enquete / examine,untersucht,investigato
ambassador,embajador,ambassadeur,Botschafter,ambasciatore
coated,recubierto,revetu,beschichtet,rivestito
intend,tener la intencion / pretender,avoir l'intention / compter,beabsichtigen,intendere / avere l'intenzione
stephanie,Stephanie,Stephanie,Stephanie,Stephanie
contacting,contactando,contactant,kontaktierend,contattando
vegetation,vegetacion,vegetation,Vegetation,vegetazione
doom,condena / fatalidad / perdicion,fatalite / condamnation,Unheil / Untergang,rovina / sventura / condanna
findarticles,FindArticles,FindArticles,FindArticles,FindArticles
louise,Louise,Louise,Louise,Louise
kenny,Kenny,Kenny,Kenny,Kenny
specially,especialmente / especialmente hecho,specialement,besonders / eigens,specialmente
owen,Owen,Owen,Owen,Owen
routines,rutinas,routines,Routinen,routine
hitting,golpeando / alcanzando,frappant / atteignant,schlagend / treffend,colpendo / raggiungendo
yukon,Yukon,Yukon,Yukon,Yukon
beings,seres,etres,Wesen,esseri
bite,morder / mordida / picadura,mordre / morsure,beissen / Biss,mordere / morso
issn,ISSN,ISSN,ISSN,ISSN
aquatic,acuatico,aquatique,aquatisch,acquatico
reliance,dependencia / confianza,dependance / confiance,Abhangigkeit / Vertrauen,dipendenza / affidamento
habits,habitos,habitudes,Gewohnheiten,abitudini
striking,llamativo / sorprendente / golpeando,frappant / marquant,auffallig / striking,sorprendente / colpendo
myth,mito,mythe,Mythos,mito
infectious,infeccioso,infectieux,ansteckend / infektios,infettivo / contagioso
podcasts,podcasts,podcasts,Podcasts,podcast
singh,Singh,Singh,Singh,Singh
gig,concierto / trabajo temporal / gig,concert / petit boulot / gig,Auftritt / Gig,serata / lavoretto / gig
gilbert,Gilbert,Gilbert,Gilbert,Gilbert
sas,SAS,SAS,SAS,SAS
ferrari,Ferrari,Ferrari,Ferrari,Ferrari
continuity,continuidad,continuite,Kontinuitat,continuita
brook,arroyo / Brook,ruisseau / Brook,Bach / Brook,ruscello / Brook
outputs,salidas / resultados,sorties / resultats,Ausgaben / Ausgabewerte,output / uscite
phenomenon,fenomeno,phenomene,Phanomen,fenomeno
ensemble,conjunto,ensemble,Ensemble,insieme / ensemble
insulin,insulina,insuline,Insulin,insulina
assured,asegurado / confiado,assure / confiant,versichert / zugesichert,assicurato / garantito
biblical,biblico,biblique,biblisch,biblico
weed,maleza / hierba,mauvaise herbe,Unkraut / Gras,erbaccia / erba
conscious,consciente,conscient,bewusst,consapevole
accent,acento,accent,Akzent,accento
mysimon,MySimon,MySimon,MySimon,MySimon
eleven,once,onze,elf,undici
wives,esposas,epouses,Ehefrauen,mogli
ambient,ambiental / ambiente,ambiant,ambient / Umgebungs-,ambientale / d'ambiente
utilize,utilizar,utiliser,nutzen / verwenden,utilizzare
mileage,kilometraje,kilometrage,Kilometerleistung,chilometraggio
oecd,OCDE / OECD,OCDE / OECD,OECD,OCSE / OECD
prostate,prostata,prostate,Prostata,prostata
adaptor,adaptador,adaptateur,Adapter,adattatore
auburn,castano rojizo / Auburn,auburn / Auburn,rotbraun / Auburn,ramato / Auburn
unlock,desbloquear,deverrouiller,entsperren,sbloccare
hyundai,Hyundai,Hyundai,Hyundai,Hyundai
pledge,promesa / comprometer,promesse / engager,Versprechen / verpfanden,promessa / impegnare
vampire,vampiro,vampire,Vampir,vampiro
angela,Angela,Angela,Angela,Angela
relates,relaciona / se refiere,relie / se rapporte,bezieht sich / verbindet,collega / si riferisce
nitrogen,nitrogeno,azote,Stickstoff,azoto
xerox,Xerox,Xerox,Xerox,Xerox
dice,dados,des,Wurfel,dadi
merger,fusion,fusion,Fusion,fusione
softball,softbol,softball,Softball,softball
referrals,referencias / remisiones,references / orientations,Empfehlungen / Uberweisungen,referenze / rinvii
quad,quad / cuadrilatero / cuadriceps,quad / quadrilatere,Quad / Viereck,quad / quadrilatero
dock,muelle / acoplar,quai / station d'accueil,Dock / Dockingstation,molo / docking station
differently,de manera diferente,differemment,anders,diversamente
firewire,FireWire,FireWire,FireWire,FireWire
mods,mods / modificaciones,mods / modifications,Mods / Modifikationen,mod / modifiche
nextel,Nextel,Nextel,Nextel,Nextel
framing,enmarcado / encuadre,encadrement / cadrage,Rahmung / framing,incorniciatura / inquadratura
musician,musico,musicien,Musiker,musicista
blocking,bloqueando / bloqueo,bloquant,blockierend / Sperrung,bloccando / blocco
rwanda,Ruanda,Rwanda,Ruanda,Ruanda
sorts,tipos / ordena,sortes / trie,Arten / sortiert,tipi / ordina
integrating,integrando,integrant,integrierend,integrando
vsnet,VSNET,VSNET,VSNET,VSNET
limiting,limitando,limitant,begrenzend,limitando
dispatch,despacho / enviar,repartition / envoyer,Versand / entsenden,spedizione / inviare
revisions,revisiones,revisions,Uberarbeitungen,revisioni
papua,Papua,Papouasie / Papua,Papua,Papua
restored,restaurado / restablecido,restaure,wiederhergestellt,restaurato / ripristinato
hint,pista / sugerencia,indice / conseil,Hinweis / Tipp,indizio / suggerimento
armor,armadura,armure,Rustung / Panzerung,armatura
riders,jinetes / pasajeros / motociclistas,cavaliers / passagers,Reiter / Fahrer,cavalieri / passeggeri
chargers,cargadores,chargeurs,Ladegerate,caricatori
remark,comentario / observacion,remarque,Bemerkung,osservazione / commento
dozens,docenas,douzaines,Dutzende,dozzine
varies,varia,varie,variiert,varia
msie,MSIE,MSIE,MSIE,MSIE
reasoning,razonamiento,raisonnement,Begrundung / Schlussfolgerung,ragionamento
liz,Liz,Liz,Liz,Liz
rendered,renderizado / prestado,rendu,gerendert / gemacht,renderizzato / reso
picking,recogiendo / seleccionando,choisissant / cueillant,auswahlend / pfluckend,scegliendo / raccogliendo
charitable,caritativo / benefico,caritatif,wohltatig / karitativ,caritatevole / benefico
guards,guardias / protege,gardes / protege,Wachen / schutzt,guardie / protegge
annotated,anotado / comentado,annote,annotiert,annotato
ccd,CCD,CCD,CCD,CCD
convinced,convencido,convaincu,uberzeugt,convinto
openings,aberturas / vacantes / aperturas,ouvertures / postes vacants,Offnungen / Stellenangebote,aperture / posti vacanti
buys,compra,achete,kauft,compra
burlington,Burlington,Burlington,Burlington,Burlington
replacing,reemplazando / sustituyendo,remplacant,ersetzend,sostituendo
researcher,investigador,chercheur,Forscher,ricercatore
watershed,cuenca / divisoria de aguas,bassin versant / tournant,Wasserscheide,spartiacque / bacino idrografico
councils,consejos,conseils,Rate,consigli
occupations,ocupaciones / profesiones,occupations / professions,Berufe / Besetzungen,occupazioni / professioni
acknowledged,reconocido,reconnu,anerkannt,riconosciuto
kruger,Kruger,Kruger,Kruger,Kruger
pockets,bolsillos,poches,Taschen,tasche
granny,abuelita,mamie,Oma,nonnina
pork,cerdo / carne de cerdo,porc,Schweinefleisch,maiale / carne di maiale
equilibrium,equilibrio,equilibre,Gleichgewicht,equilibrio
viral,viral,viral,viral,virale
inquire,preguntar / consultar,se renseigner / demander,nachfragen / sich erkundigen,chiedere / informarsi
pipes,tuberias / pipas,tuyaux / pipes,Rohre / Pfeifen,tubi / pipe
characterized,caracterizado,caracterise,charakterisiert,caratterizzato
laden,cargado / Laden,charge / Laden,geladen / Laden,carico / Laden
aruba,Aruba,Aruba,Aruba,Aruba
cottages,cabanas / casas de campo,cottages / maisons de campagne,Cottages / Ferienhauser,cottage / casette
realtor,agente inmobiliario,agent immobilier,Makler,agente immobiliare
merge,fusionar / unir,fusionner,zusammenfuhren,unire / fondere
privilege,privilegio,privilege,Privileg,privilegio
edgar,Edgar,Edgar,Edgar,Edgar
develops,desarrolla,developpe,entwickelt,sviluppa
qualifying,clasificatorio / calificando,qualification / qualifiant,qualifizierend / Qualifikation,qualificante / di qualificazione
chassis,chasis,chassis,Fahrgestell / Chassis,telaio / chassis
dubai,Dubai,Dubai,Dubai,Dubai
estimation,estimacion,estimation,Schatzung,stima
barn,granero,grange,Scheune,fienile / granaio
pushing,empujando / impulsando,poussant,schiebend / vorantreibend,spingendo / promuovendo
llp,LLP,LLP,LLP,LLP
fleece,vellon / polar / enganar,polaire / toison / escroquer,Fleece / Vlies / abzocken,pile / vello / truffare
pediatric,pediatrico,pediatrique,padiatrisch,pediatrico
boc,BOC,BOC,BOC,BOC
fare,tarifa / ir / desenvolverse,tarif / se porter,Fahrpreis / ergehen,tariffa / andare / cavarsela
asus,ASUS,ASUS,ASUS,ASUS
pierce,perforar / Pierce,percer / Pierce,durchbohren / Pierce,forare / Pierce
allan,Allan,Allan,Allan,Allan
dressing,aderezo / vendaje / vestir,vinaigrette / pansement / habillage,Dressing / Verband / Ankleiden,condimento / bendaggio / vestirsi
techrepublic,TechRepublic,TechRepublic,TechRepublic,TechRepublic
sperm,esperma,sperme,Sperma,sperma
bald,calvo,chauve,kahl / glatzkopfig,calvo
filme,filme,film / filme,filme,film / filme
craps,craps / dados,craps / des,Craps / Mist,craps / dadi
fuji,Fuji,Fuji,Fuji,Fuji
frost,escarcha / helada / Frost,givre / gel,Frost / Reif,gelo / brina
leon,Leon / Leon,Leon,Leon,Leone / Leon
institutes,institutos,instituts,Institute,istituti
mold,moho / molde,moisissure / moule,Schimmel / Form,muffa / stampo
dame,dama,dame,Dame,dama
sally,Sally,Sally,Sally,Sally
yacht,yate,yacht,Yacht,yacht
tracy,Tracy,Tracy,Tracy,Tracy
prefers,prefiere,prefere,bevorzugt,preferisce
drilling,perforacion / perforando,forage / forant,Bohren / bohrend,perforazione / perforando
brochures,folletos,brochures,Broschuren,brochure / opuscoli
herb,hierba / Herb,herbe / Herb,Kraut / Herb,erba / Herb
tmp,tmp,tmp,tmp,tmp
alot,mucho / alot,beaucoup / alot,viel / alot,molto / alot
ate,comio,a mange,aß,ha mangiato
breach,incumplimiento / brecha / violar,violation / breche,Verstoß / Lücke,violazione / falla / breccia
whale,ballena,baleine,Wal,balena
traveller,viajero,voyageur,Reisender,viaggiatore
appropriations,asignaciones presupuestarias / apropiaciones,credits budgetaires,Mittelzuweisungen,stanziamenti
suspected,sospechoso / sospechado,soupconne,verdachtigt / vermutet,sospettato
tomatoes,tomates,tomates,Tomaten,pomodori
benchmark,punto de referencia / benchmark,reference / benchmark,Benchmark / Referenzwert,benchmark / parametro di riferimento
beginners,principiantes,debutants,Anfanger,principianti
instructors,instructores,instructeurs,Ausbilder / Dozenten,istruttori
highlighted,resaltado / destacado,mis en evidence,hervorgehoben,evidenziato / messo in risalto
bedford,Bedford,Bedford,Bedford,Bedford
stationery,papeleria,papeterie,Schreibwaren,cartoleria
idle,inactivo / ocioso / ralenti,inactif / ralenti,untatig / Leerlauf,inattivo / minimo
mustang,Mustang,Mustang,Mustang,Mustang
unauthorized,no autorizado,non autorise,nicht autorisiert / unbefugt,non autorizzato
clusters,grupos / conglomerados,groupes / clusters,Cluster / Gruppen,cluster / gruppi
antibody,anticuerpo,anticorps,Antikorper,anticorpo
competent,competente,competent,kompetent,competente
momentum,impulso / momento,elan / momentum,Schwung / Momentum,slancio / momentum
fin,fin / aleta,fin / nageoire,Ende / Flosse,fine / pinna
wiring,cableado,cablage,Verkabelung,cablaggio
pastor,pastor,pasteur,Pastor / Pfarrer,pastore
mud,barro,boue,Schlamm,fango
calvin,Calvin,Calvin,Calvin,Calvin
uni,uni,uni,uni,uni
shark,tiburon,requin,Hai,squalo
contributor,colaborador,contributeur,Mitwirkender,collaboratore
demonstrates,demuestra,demontre,demonstriert / zeigt,dimostra
phases,fases,phases,Phasen,fasi
grateful,agradecido,reconnaissant,dankbar,grato / riconoscente
emerald,esmeralda,emeraude,Smaragd,smeraldo
gradually,gradualmente,progressivement,allmahlich,gradualmente
laughing,riendo,riant,lachend,ridendo
grows,crece,grandit / pousse,wachst / wächst,cresce
cliff,acantilado,falaise,Klippe,scogliera
desirable,deseable,desirable,wunschenswert,desiderabile
tract,tracto / extension / folleto,tractus / etendue / tract,Trakt / Gebiet / Flugblatt,tratto / estensione / volantino
ballet,ballet,ballet,Ballett,balletto
journalist,periodista,journaliste,Journalist,giornalista
abraham,Abraham,Abraham,Abraham,Abramo / Abraham
bumper,parachoques / excepcional,pare-chocs / formidable,Stoßstange / riesig,paraurti / eccezionale
afterwards,despues / posteriormente,apres / ensuite,anschließend / danach,dopo / in seguito
webpage,pagina web,page web,Webseite,pagina web
religions,religiones,religions,Religionen,religioni
garlic,ajo,ail,Knoblauch,aglio
hostels,hostales / albergues,auberges / hostels,Hostels / Jugendherbergen,ostelli / hostel
shine,brillar / brillo,briller / brillance,glanzen / Schein,brillare / lucentezza
senegal,Senegal,Senegal,Senegal,Senegal
explosion,explosion,explosion,Explosion,esplosione
banned,prohibido,interdit,verboten,vietato
wendy,Wendy,Wendy,Wendy,Wendy
briefs,breves / calzoncillos / informes,briefs / slips / memoires,Kurzberichte / Slips,brevi / slip / dossier
signatures,firmas,signatures,Unterschriften,firme
diffs,diffs / diferencias,diffs / differences,Diffs / Unterschiede,diff / differenze
cove,ensenada,anse / crique,Bucht,insenatura / cala
mumbai,Mumbai,Mumbai,Mumbai,Mumbai
ozone,ozono,ozone,Ozon,ozono
disciplines,disciplinas,disciplines,Disziplinen,discipline
casa,casa,casa / maison,Casa / Haus,casa
daughters,hijas,filles,Tochter,figlie
conversations,conversaciones,conversations,Gesprache,conversazioni
radios,radios / aparatos de radio,radios,Radios,radio
tariff,tarifa / arancel,tarif / droit de douane,Tarif / Zoll,tariffa / dazio
nvidia,NVIDIA,NVIDIA,NVIDIA,NVIDIA
opponent,oponente / rival,adversaire,Gegner,avversario
pasta,pasta,pates / pasta,Pasta / Nudeln,pasta
simplified,simplificado,simplifie,vereinfacht,semplificato
muscles,musculos,muscles,Muskeln,muscoli
serum,suero,serum,Serum,siero
wrapped,envuelto,emballe / enveloppe,eingewickelt,avvolto
swift,rapido / vencejo / Swift,rapide / martinet / Swift,schnell / Mauersegler / Swift,rapido / rondone / Swift
motherboard,placa base,carte mere,Motherboard / Hauptplatine,scheda madre
runtime,tiempo de ejecucion,temps d'execution,Laufzeit,tempo di esecuzione
inbox,bandeja de entrada,boite de reception,Posteingang,posta in arrivo
focal,focal,focal,fokal,focale
bibliographic,bibliografico,bibliographique,bibliografisch,bibliografico
eden,Eden,Eden,Eden,Eden
distant,distante,distant,entfernt,distante
incl,incl.,incl.,inkl.,incl.
champagne,champan,champagne,Champagner,champagne / spumante
ala,ala,aile / ala,Flugel / ala,ala
decimal,decimal,decimal,dezimal,decimale
deviation,desviacion,deviation,Abweichung,deviazione
superintendent,superintendente,surintendant,Superintendent / Leiter,sovrintendente / preside
propecia,Propecia,Propecia,Propecia,Propecia
dip,caida / mojar / salsa,baisse / tremper / sauce,Einbruch / dippen / Dip,calo / intingere / salsa
nbc,NBC,NBC,NBC,NBC
samba,samba,samba,Samba,samba
hostel,hostal / albergue,auberge / hostel,Hostel / Herberge,ostello
housewives,amas de casa,femmes au foyer,Hausfrauen,casalinghe
employ,emplear / contratar,employer / embaucher,einsetzen / beschaftigen,impiegare / assumere
mongolia,Mongolia,Mongolie,Mongolei,Mongolia
penguin,pinguino,pingouin / manchot,Pinguin,pinguino
magical,magico,magique,magisch,magico
influences,influencias / influye,influences / influence,Einflusse / beeinflusst,influenze / influenza
inspections,inspecciones,inspections,Inspektionen,ispezioni
irrigation,irrigacion,irrigation,Bewasserung,irrigazione
miracle,milagro,miracle,Wunder,miracolo
manually,manualmente,manuellement,manuell,manualmente
reprint,reimpresion / reeditar,reimpression / reimprimer,Nachdruck / nachdrucken,ristampa / ristampare
reid,Reid,Reid,Reid,Reid
hydraulic,hidraulico,hydraulique,hydraulisch,idraulico
centered,centrado,centre,zentriert,centrato
robertson,Robertson,Robertson,Robertson,Robertson
flex,flexionar / flexible,flechir / flexible,biegen / Flex,flettere / flex
yearly,anual,annuel,jahrlich,annuale
penetration,penetracion,penetration,Penetration / Durchdringung,penetrazione
wound,herida,blessure,Wunde,ferita
belle,Bella / Belle,Belle,Belle / Schone,bella / Belle
rosa,rosa / Rosa,rose / Rosa,Rose / Rosa,rosa / Rosa
conviction,conviccion / condena,conviction / condamnation,Uberzeugung / Verurteilung,convinzione / condanna
hash,hash / picadillo / resumir,hachage / hash,Hash / Hasch,hash / tritare
omissions,omisiones,omissions,Auslassungen,omissioni
writings,escritos,ecrits,Schriften,scritti
hamburg,Hamburgo,Hambourg,Hamburg,Amburgo
lazy,perezoso,paresseux,faul,pigro
mpg,mpg,mpg,mpg,mpg
retrieval,recuperacion,recuperation,Abruf / Wiedergewinnung,recupero
qualities,cualidades / calidades,qualites,Qualitaten / Eigenschaften,qualita
cindy,Cindy,Cindy,Cindy,Cindy
fathers,padres,peres,Vater,padri
carb,carbohidrato / carb,glucide / carb,Kohlenhydrat / carb,carboidrato / carb
charging,cobrando / cargando / acusando,facturant / chargeant / accusant,aufladen / belasten / anklagen,caricando / addebitando / accusando
cas,cas,cas,cas,cas
marvel,maravilla / maravillarse,merveille / s'emerveiller,Wunder / staunen,meraviglia / stupirsi
lined,forrado / alineado,double / aligne,ausgekleidet / lined,foderato / allineato
cio,CIO,CIO,CIO,CIO
dow,Dow,Dow,Dow,Dow
prototype,prototipo,prototype,Prototyp,prototipo
importantly,importante / lo que es mas importante,surtout / important,wichtig / vor allem,importantemente / soprattutto
petite,pequena / petite,petite,zierlich / petite,piccola / petite
apparatus,aparato,appareil,Apparat,apparato
upc,UPC,UPC,UPC,UPC
terrain,terreno,terrain,Gelande,terreno
dui,DUI,DUI,DUI,DUI
pens,boligrafos / corrales,stylos / enclos,Stifte / Pferche,penne / recinti
explaining,explicando,expliquant,erklarend,spiegando
yen,yen,yen,Yen,yen
strips,tiras / despoja,bandes / depouille,Streifen / entfernt,strisce / toglie
gossip,chisme / cotilleo,potins,Klatsch / Tratsch,pettegolezzo
rangers,guardabosques / Rangers,gardes forestiers / Rangers,Ranger,guardaparco / Rangers
nomination,nominacion,nomination,Nominierung,nomina
empirical,empirico,empirique,empirisch,empirico
rotary,rotativo,rotatif,rotierend / Rotary,rotativo
worm,gusano,ver,Wurm,verme
dependence,dependencia,dependance,Abhangigkeit,dipendenza
discrete,discreto / separado,discret / distinct,diskret / getrennt,discreto / distinto
beginner,principiante,debutant,Anfanger,principiante
boxed,en caja / encuadrado,en boite / encadre,verpackt / boxed,inscatolato / incorniciato
lid,tapa,couvercle,Deckel,coperchio
sexuality,sexualidad,sexualite,Sexualitat,sessualita
polyester,poliester,polyester,Polyester,poliestere
cubic,cubico,cubique,kubisch,cubico
deaf,sordo,sourd,taub,sordo
commitments,compromisos,engagements,Verpflichtungen,impegni
suggesting,sugiriendo,suggerant,andeutend / vorschlagend,suggerendo
sapphire,zafiro,saphir,Saphir,zaffiro
kinase,quinasa,kinase,Kinase,chinasi
skirts,faldas / bordea,jupes / contourne,Rocke / umgeht,gonne / costeggia
mats,esteras / alfombrillas,nattes / tapis,Matten,stuoie / tappetini
remainder,resto,reste,Rest,resto
crawford,Crawford,Crawford,Crawford,Crawford
labeled,etiquetado,etiquete,beschriftet / etikettiert,etichettato
privileges,privilegios,privileges,Privilegien,privilegi
televisions,televisores,televiseurs,Fernseher,televisori
specializing,especializandose,se specialisant,spezialisierend,specializzandosi
marking,marcado / marcando,marquage / marquant,Markierung / markierend,marcatura / segnando
commodities,mercancias / materias primas,matieres premieres,Rohstoffe / Waren,materie prime / merci
pvc,PVC,PVC,PVC,PVC
serbia,Serbia,Serbie,Serbien,Serbia
sheriff,sheriff / alguacil,sherif,Sheriff,sceriffo
griffin,grifo / Griffin,griffon / Griffin,Greif / Griffin,grifone / Griffin
declined,declino / rechazo / disminuyo,a decline / refuse,lehnte ab / sank,ha rifiutato / e diminuito
guyana,Guyana,Guyana / Guyane,Guyana,Guyana
spies,espias,espions,Spione,spie
blah,blah / bla,bla / blah,blah / bla,bla / blah
mime,mimo / imitar,mime / imiter,Mime / nachahmen,mimo / imitare
neighbor,vecino,voisin,Nachbar,vicino
motorcycles,motocicletas,motos,Motorrader,motociclette
elect,elegir / elegir mediante voto,elire,wahlen,eleggere
highways,autopistas,autoroutes,Autobahnen,autostrade
thinkpad,ThinkPad,ThinkPad,ThinkPad,ThinkPad
concentrate,concentrarse / concentrado,concentrer / concentre,konzentrieren / Konzentrat,concentrarsi / concentrato
intimate,intimo / insinuar,intime / suggerer,intim / andeuten,intimo / suggerire
reproductive,reproductivo,reproductif,reproduktiv,riproduttivo
preston,Preston,Preston,Preston,Preston
deadly,mortal,mortel,todlich,mortale
feof,feof,feof,feof,feof
bunny,conejito,lapin / lapine,Hasechen,coniglietto
chevy,Chevy,Chevy,Chevy,Chevy
molecules,moleculas,molecules,Molekule,molecole
rounds,rondas / rondas de disparos,rondes / tours,Runden / Patronen,turni / round
longest,el mas largo,le plus long,langste,il piu lungo
refrigerator,refrigerador / nevera,refrigerateur,Kuhlschrank,frigorifero
tions,tions,tions,tionen,zioni
intervals,intervalos,intervalles,Intervalle,intervalli
sentences,oraciones / frases / sentencias,phrases / peines,Satze / Urteile,frasi / sentenze
dentists,dentistas,dentistes,Zahnarzte,dentisti
usda,USDA,USDA,USDA,USDA
exclusion,exclusion,exclusion,Ausschluss,esclusione
workstation,estacion de trabajo,station de travail,Arbeitsstation,postazione di lavoro
holocaust,holocausto,holocauste,Holocaust,olocausto
keen,entusiasta / agudo,enthousiaste / aigu,begeistert / scharf,entusiasta / acuto
flyer,folleto / volante / viajero frecuente,depliant / flyer / voyageur,Flyer / Flieger,volantino / viaggiatore
peas,guisantes / arvejas,pois,Erbsen,piselli
dosage,dosis / dosificacion,dosage,Dosierung,dosaggio
receivers,receptores / destinatarios,recepteurs / receveurs,Empfanger / Receiver,ricevitori / destinatari
disposition,disposicion / inclinacion,disposition,Verfugung / Gemut,disposizione / inclinazione
variance,varianza,variance,Varianz,varianza
navigator,navegador,navigateur,Navigator,navigatore
investigators,investigadores,enqueteurs / investigateurs,Ermittler / Forscher,investigatori
cameroon,Camerun,Cameroun,Kamerun,Camerun
baking,horneado / hornear,cuisson / cuire au four,Backen / backend,cottura / cuocere al forno
marijuana,marihuana,marijuana,Marihuana,marijuana
adaptive,adaptativo,adaptatif,adaptiv,adattivo
computed,calculado / computado,calcule,berechnet,calcolato
needle,aguja,aiguille,Nadel,ago
baths,banos / baneras,bains,Bader,bagni / vasche
enb,ENB,ENB,ENB,ENB
cathedral,catedral,cathedrale,Kathedrale,cattedrale
brakes,frenos,freins,Bremsen,freni
nirvana,nirvana,nirvana,Nirvana,nirvana
fairfield,Fairfield,Fairfield,Fairfield,Fairfield
owns,posee,possede,besitzt,possiede
til,hasta / til,jusqu'a / til,bis / til,fino a / til
invision,Invision,Invision,Invision,Invision
sticky,pegajoso / fijo,collant / epingle,klebrig / Sticky,appiccicoso / fissato
destiny,destino,destinee,Schicksal,destino
generous,generoso,genereux,großzugig,generoso
madness,locura,folie,Wahnsinn,follia
emacs,Emacs,Emacs,Emacs,Emacs
climb,subir / escalar,grimper,klettern / steigen,salire / scalare
blowing,soplando / explotando,soufflant / explosant,blasend / wehend,soffiando / facendo esplodere
fascinating,fascinante,fascinant,faszinierend,affascinante
landscapes,paisajes,paysages,Landschaften,paesaggi
heated,calentado / acalorado,chauffe / houleux,beheizt / erhitzt,riscaldato / acceso
lafayette,Lafayette,Lafayette,Lafayette,Lafayette
jackie,Jackie,Jackie,Jackie,Jackie
wto,OMC / WTO,OMC / WTO,WTO,OMC / WTO
computation,computacion / calculo,calcul / computation,Berechnung / Computation,calcolo / computazione
hay,heno / hay,foin / hay,Heu / hay,fieno / hay
cardiovascular,cardiovascular,cardiovasculaire,kardiovaskular,cardiovascolare
sparc,SPARC,SPARC,SPARC,SPARC
cardiac,cardiaco,cardiaque,kardial,cardiaco
salvation,salvacion,salut / salvation,Erlosung / Rettung,salvezza
dover,Dover,Dover,Dover,Dover
adrian,Adrian,Adrian,Adrian,Adrian
predictions,predicciones,predictions,Vorhersagen,previsioni
accompanying,acompanante / acompanando,accompagnant,begleitend,accompagnando
vatican,Vaticano,Vatican,Vatikan,Vaticano
brutal,brutal,brutal,brutal,brutale
learners,aprendices / estudiantes,apprenants,Lernende,studenti / apprendenti
selective,selectivo,selectif,selektiv,selettivo
arbitration,arbitraje,arbitrage,Schiedsverfahren,arbitrato
configuring,configurando,configurant,konfigurierend,configurando
token,token / ficha,jeton / token,Token / Wertmarke,token / gettone
editorials,editoriales / articulos de opinion,editoriaux,Leitartikel,editoriali
zinc,zinc,zinc,Zink,zinco
sacrifice,sacrificio / sacrificar,sacrifice / sacrifier,Opfer / opfern,sacrificio / sacrificare
seekers,buscadores / solicitantes,chercheurs / demandeurs,Suchende,cercatori / richiedenti
guru,guru,gourou,Guru,guru
isa,ISA,ISA,ISA,ISA
removable,extraible / removible,amovible,abnehmbar,rimovibile
convergence,convergencia,convergence,Konvergenz,convergenza
yields,rendimientos / produce,rendements / cede,Ertrage / liefert,rendimenti / produce
gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibilterra / Gibraltar
levy,impuesto / gravamen / imponer,prelevement / taxe / lever,Abgabe / Levy,prelievo / tassa / imporre
suited,adecuado / vestido,adapte / habille,geeignet / gekleidet,adatto / vestito
numeric,numerico,numerique,numerisch,numerico
anthropology,antropologia,anthropologie,Anthropologie,antropologia
skating,patinaje / patinando,patinage / patinant,Skaten / Eislaufen,pattinaggio / pattinando
kinda,mas o menos / algo asi,un peu / en quelque sorte,irgendwie / sozusagen,piu o meno / tipo
aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen
emperor,emperador,empereur,Kaiser,imperatore
grad,grad,grad,Grad,grad
